PT Taekwang Industrial Indonesia (Ikatan Dinas)-IOM ITB (Biaya Hidup)-Beasiswa Voucher Makan Sistem RFID,1
PT Protelindo-PT Taekwang Industrial Indonesia (Ikatan Dinas),1
PT Protelindo-Lippo Group-PPA,1
PT Protelindo-Beasiswa Voucher Makan Sistem RFID-Lippo Group,1
PT Protelindo-Beasiswa Voucher Makan Sistem RFID,1
PPA-Yayasan Salim-PT Protelindo,1
PPA-Yayasan Salim-Lippo Group,7
PPA-Yayasan Salim-IOM ITB (Tugas Akhir),4
PPA-Yayasan Salim-IOM ITB (Biaya Hidup),2
PPA-Yayasan Salim-Beasiswa Voucher Makan Sistem RFID,7
PPA-Yayasan Salim-BBM,1
PPA-Yayasan Salim,26
PPA-Yayasan Komatsu Indonesia Peduli-WARTA Ikatan Dinas,1
PPA-Yayasan Komatsu Indonesia Peduli-Wardah Pemberdayaan Ekonomi (WARDAYA),1
PPA-Yayasan Komatsu Indonesia Peduli-BUMN,2
PPA-Yayasan Komatsu Indonesia Peduli-Beasiswa Voucher Makan Sistem RFID,1
PPA-Yayasan Komatsu Indonesia Peduli-BBM,4
PPA-Yayasan Komatsu Indonesia Peduli,4
PPA-WARTA Ikatan Dinas-Wardah Prestasi (WAPRES),1
PPA-WARTA Ikatan Dinas-IOM ITB (Tugas Akhir),1
PPA-WARTA Ikatan Dinas-Beasiswa Voucher Makan Sistem RFID,3
PPA-WARTA Ikatan Dinas-ABB J?rgen Dormann Foundation,1
PPA-WARTA Ikatan Dinas,6
PPA-Wardah Prestasi (WAPRES)-IOM ITB (Tugas Akhir),1
PPA-Wardah Prestasi (WAPRES)-IOM ITB (SPP),3
PPA-Wardah Prestasi (WAPRES)-IOM ITB (Biaya Hidup),3
PPA-Wardah Prestasi (WAPRES)-BUMN,1
PPA-Wardah Prestasi (WAPRES)-Beasiswa Voucher Makan Sistem RFID,12
PPA-Wardah Prestasi (WAPRES),10
